Customer_ID,Days_Since_Last_Login,Avg_Time_Spent,Avg_Transaction_Value,avg_frequency_login_days,medium_of_operation,internet_option
fffe4300490044003600300030003800,17,300.63,53005.25,17,?,Wi-Fi
fffe43004900440032003100300035003700,16,306.34,12838.38,10,Desktop,Mobile_Data
fffe4300490044003100390032003600,14,516.16,21027,22,Desktop,Wi-Fi
fffe43004900440036003000330031003600,11,53.27,25239.56,6,Desktop,Mobile_Data
fffe43004900440031003900350030003600,20,113.13,24483.66,16,Smartphone,Mobile_Data
fffe43004900440036003300320035003300,23,433.62,13884.77,24,?,Wi-Fi
fffe43004900440031003100360037003900,10,55.38,8982.5,28,Desktop,Mobile_Data
fffe4300490044003800300035003800,19,429.11,44554.82,24,Both,Fiber_Optic
fffe43004900440033003300330032003200,15,191.07,18362.31,20,Smartphone,Fiber_Optic
fffe43004900440032003000340038003300,10,97.31,19244.16,28,?,Wi-Fi
fffe43004900440035003200390031003400,14,570.23,35119.93,8,Both,Wi-Fi
fffe4300490044003500380036003900,14,55.53,41672.02,33.02434314,Smartphone,Wi-Fi
fffe43004900440032003600350039003300,13,41.09,44007.18,18,Smartphone,Fiber_Optic
fffe43004900440033003700320038003200,10,89.76,21318.19,6,Smartphone,Fiber_Optic
fffe43004900440033003600310031003900,20,100.59,14842.62,26,?,Fiber_Optic
fffe43004900440035003100340033003400,-999,30.14,18792.31,7,Smartphone,Fiber_Optic
fffe4300490044003100300039003400,5,333.34,47241.32,8,?,Wi-Fi
fffe43004900440032003400320030003600,12,275.13,29072.86,26,?,Wi-Fi
fffe4300490044003200380034003700,9,241.74,33170.16,6,Smartphone,Fiber_Optic
fffe43004900440034003200330033003200,14,31.15,66982.61,8,?,Mobile_Data
fffe4300490044003700340034003400,15,49.86,44289.97,25,Desktop,Wi-Fi
fffe43004900440035003000380032003400,21,30.37,49404.86,23,Smartphone,Mobile_Data
fffe43004900440035003800300036003400,15,483.03,52702.67,3,?,Mobile_Data
fffe43004900440032003300320035003700,12,72.52,15860.41,3.207385793,Smartphone,Fiber_Optic
fffe43004900440034003800300030003400,17,108.3,21725.57,21,Desktop,Fiber_Optic
fffe43004900440033003900360031003500,18,300.38,12069.06,7,Desktop,Fiber_Optic
