Date,Category,Value,Product,Sales,Region
2025-01-01,C,11.9,Product3,381.0,West
2025-01-02,A,14.7,Product1,792.0,East
2025-01-03,C,42.3,Product1,195.0,West
2025-01-04,A,50.5,Product1,674.0,West
2025-01-05,C,64.7,Product3,529.0,West
2025-01-06,B,58.7,Product1,877.0,West
2025-01-07,C,42.4,Product2,259.0,West
2025-01-08,B,11.0,Product2,199.0,North
2025-01-09,B,60.2,Product1,847.0,South
2025-01-10,C,13.2,Product2,180.0,North
2025-01-11,C,61.6,Product2,691.0,West
2025-01-12,C,7.8,Product3,333.0,North
2025-01-13,A,84.8,Product1,489.0,North
2025-01-14,B,63.3,Product2,266.0,North
2025-01-15,B,21.5,Product2,818.0,East
2025-01-16,C,63.2,Product3,846.0,West
2025-01-17,A,46.3,Product2,755.0,West
2025-01-18,C,32.8,Product1,334.0,East
2025-01-19,B,40.3,Product1,316.0,North
2025-01-20,A,65.2,Product2,758.0,South
2025-01-21,A,27.0,Product1,862.0,North
2025-01-22,C,58.3,Product3,508.0,North
2025-01-23,A,98.7,Product1,621.0,South
2025-01-24,A,75.1,Product1,256.0,West
2025-01-25,C,42.4,Product1,494.0,South
2025-01-26,C,98.6,Product3,357.0,East
2025-01-27,C,71.6,Product3,649.0,North
2025-01-28,C,34.3,Product2,545.0,West
2025-01-29,B,1.3,Product3,996.0,North
2025-01-30,C,75.7,Product3,208.0,North
2025-01-31,C,50.8,Product1,256.0,North
2025-02-01,A,53.9,Product3,100.0,North
2025-02-02,B,2.9,Product2,999.0,North
2025-02-03,A,6.7,Product3,180.0,East
2025-02-04,C,48.6,Product1,878.0,West
2025-02-05,A,65.7,Product3,269.0,North
2025-02-06,C,86.5,Product2,316.0,West
2025-02-07,C,31.5,Product3,765.0,North
2025-02-08,B,89.2,Product2,223.0,West
2025-02-09,A,7.3,Product1,702.0,West
2025-02-10,C,22.6,Product1,824.0,East
2025-02-11,A,7.6,Product1,980.0,North
2025-02-12,A,51.4,Product2,785.0,South
2025-02-13,A,53.8,Product3,684.0,South
2025-02-14,A,77.9,Product2,294.0,East
2025-02-15,A,65.6,Product2,533.0,South
2025-02-16,B,85.7,Product1,789.0,East
2025-02-17,A,40.5,Product2,919.0,East
2025-02-18,A,19.8,Product3,559.0,West
2025-02-19,B,19.0,Product2,355.0,East
2025-02-20,B,80.2,Product3,200.0,East
2025-02-21,C,98.9,Product1,195.0,West
2025-02-22,A,40.8,Product2,318.0,South
2025-02-23,A,17.1,Product1,499.0,North
2025-02-24,B,29.0,Product3,848.0,South
2025-02-25,A,19.6,Product1,159.0,East
2025-02-26,C,31.7,Product1,698.0,South
2025-02-27,C,91.1,Product3,261.0,East
2025-02-28,C,8.9,Product1,170.0,East
2025-03-01,C,85.5,Product2,222.0,West
2025-03-02,C,59.3,Product3,183.0,South
2025-03-03,C,58.2,Product3,423.0,North
2025-03-04,A,66.6,Product2,344.0,North
2025-03-05,B,13.8,Product3,407.0,South
2025-03-06,B,92.0,Product1,109.0,South
2025-03-07,C,98.8,Product1,175.0,West
2025-03-08,C,27.0,Product2,170.0,West
2025-03-09,B,28.9,Product2,953.0,North
2025-03-10,C,97.4,Product3,641.0,East
2025-03-11,C,81.1,Product2,779.0,East
2025-03-12,A,26.9,Product1,860.0,West
2025-03-13,B,28.6,Product1,834.0,North
2025-03-14,A,68.4,Product2,617.0,South
2025-03-15,B,89.7,Product1,194.0,South
2025-03-16,B,5.3,Product2,889.0,West
2025-03-17,C,97.0,Product1,859.0,South
2025-03-18,C,70.2,Product3,109.0,East
2025-03-19,A,93.6,Product3,252.0,East
2025-03-20,B,58.1,Product1,540.0,West
2025-03-21,A,31.2,Product1,466.0,West
2025-03-22,C,25.5,Product1,462.0,South
2025-03-23,C,74.4,Product1,985.0,West
2025-03-24,A,87.4,Product1,283.0,North
2025-03-25,B,79.6,Product3,930.0,West
2025-03-26,B,16.6,Product3,210.0,South
2025-03-27,A,85.1,Product1,304.0,South
2025-03-28,B,30.9,Product1,328.0,East
2025-03-29,C,19.9,Product2,385.0,East
2025-03-30,B,35.4,Product3,509.0,North
2025-03-31,A,12.3,Product2,282.0,North
2025-04-01,A,11.6,Product2,453.0,North
2025-04-02,B,60.4,Product3,218.0,South
2025-04-03,C,19.6,Product1,825.0,South
2025-04-04,A,52.0,Product3,803.0,West
2025-04-05,B,43.3,Product3,438.0,North
2025-04-06,C,84.1,Product3,407.0,North
2025-04-07,C,41.0,Product2,813.0,North
2025-04-08,C,13.5,Product2,780.0,South
2025-04-09,C,74.3,Product1,730.0,North
2025-04-10,B,54.7,Product1,411.0,North
